species_name,bud_bank_location,clonal_spread_mechanism,competitive_stratum,dispersal_syndrome,dispersal_unit,dispersers,establishment_light_environment_index,fire_time_from_fire_to_50_percent_flowering,fire_time_from_fire_to_50_percent_fruiting,fire_time_from_fire_to_flowering,fire_time_from_fire_to_flowering_decline,fire_time_from_fire_to_fruiting,fire_time_from_fire_to_peak_flowering,flower_colour,flower_structural_sex_type,flowering_cues,flowering_time,fruit_colour,fruiting_time,genome_size,germination_treatment,leaf_type,life_history,life_history_ephemeral_class,lifespan,nitrogen_fixing,parasitic,plant_climbing_mechanism,plant_flood_regime_classification,plant_growth_form,plant_growth_substrate,plant_height,plant_physical_defence_structures,plant_tolerance_calcicole,plant_tolerance_fire,plant_tolerance_inundation,plant_tolerance_salt,plant_tolerance_snow,plant_tolerance_soil_salinity,plant_tolerance_water_logged_soils,plant_type_by_resource_use,ploidy,pollination_syndrome,pollination_system,post_fire_flowering,post_fire_recruitment,recruitment_time,reproductive_light_environment_index,reproductive_maturity,resprouting_capacity,resprouting_capacity_juvenile,resprouting_capacity_non_fire_disturbance,resprouting_capacity_proportion_individuals,resprouting_capacity_time_from_germination,root_structure,root_system_type,seed_dormancy_class,seed_germination,seed_germination_time,seed_germination_treatment,seed_viability,seedbank_location,seedbank_longevity,seedbank_longevity_class,seedling_establishment_conditions,seedling_germination_location,serotiny,sex_type,sprout_depth,stem_growth_habit,storage_organ,vegetative_reproduction_ability
Acacia decurrens,,,,,,,,,,,,,,,,,Spring,yellow,,,,bipinnate,,,,,,,,,,20 to 30 feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia floribunda,,,ground,,,,full sun,,,,,,,yellow,,,"February - September, autumn, spring, winter",,,,,,,,,,,,,"shrub, tree",,"1.5m, 15-20 feet, 2-2.5 m, 3-7m, 6 to 30 ft, 8m high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia podalyriifolia,,,,,,,,,,,,,,"golden, yellow",,,July,,,,,,,,,,,,,"shrub, tree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spreading,,
Acacia pubescens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia stricta,,,,,,,,,,,,,,,,,"December, November",,,,,,,,,,,,,shrub,,2-5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erect,,
Acacia suaveolens,,,ground,,seed,,,,,,,,,yellow,,,"August to
October, Autumn-Spring, autumn, winter",bluish,,,cold,,,,,,,,,shrub,,"1-2 m high, 1—3m, 3-6 feet high, 5-6 feet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"erect, open",,
Aegiceras corniculatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"shrub, tree",,3-4m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dense,,
Alphitonia excelsa,,,,,,,,,,,,,,cream,,,,"orange, yellow",,,,,,,,,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erect,,
Amyema miquelii,,,,,seed,birds,,,,,,,,,,,,red,,,dark,,,,,,"Holoparasitic, hemiparasitic",,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amyema pendula,,,,,,,,,,,,,,,,,,,,,,,,,,,hemiparasitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthropodium milleflorum,,,,,,,,,,,,,,"pink, white, blue",,,spring and summer,,,,,,,,,,,,,herb,,"25-80 cm, over 1m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rhizomatous, spreading",,
Arthropodium minus,,,,,,,,,,,,,,white,,,"Summer, spring",,,,,scale,,,,,,,,herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erect,,
Astroloma humifusum,,,,,,,,,,,,,,red,,,"autumn, winter",,,,,,,,,,,,,shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"creeping, prostrate",,
Auranticarpa rhombifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tree,,60ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austrostipa rudis,,,ground,,,,,,,,,,,,,,,,,,,,,,,,,,,tussock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bidens pilosa,,,,,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bossiaea buxifolia,,,,,,,,,,,,,,yellow,,,spring,,,,,,,,,,,,,shrub,,to 30 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spreading,,
Bothriochloa macra,,,ground,,,,,,,,,,,,,,,,,,,,perennial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prostrate, tufted",,
Brachychiton acerifolius,,,,,,,,,,,,,,"red, scarlet",,,"december, summer",,,,,,,,,,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachychiton populneus,,,,,,"water, wind",,,,,,,,"cream, red",,,Spring,,,,,,,,,,,,,tree,,9 m tall,,,,,,,,,,,"insect, water","biotic_specialised, water",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breynia oblongifolia,,,,,,,,,,,,,,"cream, green",,,,cream,,,,,,,,,,,,shrub,,,,,,,,,,,,,butterfly,butterfly,,,,,,,,,,,,,,,,,,,,,,,,,,erect,,
Bursaria spinosa,,,ground,,seed,,,,,,,,,white,,,spring,"black, brown, dark mauve, orange",,,,,perennial,,,,,,,"shrub, tree",,"1-12 m, 2.5 m tall",thorn,,,,,,,,,,"butterfly, insect","butterfly, insect",,,,,,,,,,,,,,,,,,,,,,,,,,"bushy, erect, spreading",,
Caesia parviflora,,,,,,,,,,,,,,"blue, white",,,spring to summer,,,,,,,,,,,,,tufted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callistemon citrinus,,,,,,,full sun,,,,,,,"Bronze, Brown, Khaki, black, crimson, pink, purple, red, white",,,"6-7 times/year, March-April, November to January, October to
November, September-December, Spring, summer",,,,,,,,,,,,,shrub,,"1 m, 1 m tall, 1.5 m tall, 1m, 2-3 m, 2-4 m, 2-8 m, 3-4 m, 4 m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bushy, dense, erect, open, prostrate, sprawling, spreading",,
Callistemon salignus,,,mid,,seed,birds,full sun,,,,,,,"Greenish, cream, mauve, pink, red, white",,,spring,,,,,,,,,,,,,"shrub, tree",,"1.5ft, 15 ft, 15-20 ft, 3m, 4 m, 5-15 m, up to
60 mm, up to 20 ft",,,,,,,,,,,bird,bird,,,,,,,,,,,,,,,,,,,,,,,,,,"bark, dense, spreading",,
Callistemon viminalis,,,mid,,"seed, seedling",birds,,,,,,,,"Salmon, pink, red, white",,,"August to October, Autumn, October, Summer, spring, summer","Brown, grey",,,light,,,,,,,,,"shrub, tree",,"1.5m, 16 feet, 2.5m, 2m, 3m, 4 m, 5-9 m, 5m, 6 m high, 7 feet, 8 m high, growing to 1.5-1.8 m, to
5-6 m, to 1.5-1.8 m, to 20ft",,,,,,,,,,,birds,birds,,,,,,,,,,,,,,,,,,,,,,,,,,"bushy, compact, dense, erect, spindly, sprawling, spreading",,
Calotis cuneifolia,,,mid,,"Seed, seed",animals,,,,,,,,"blue, mauve",,,spring,"Brown, Grey",,,,,,,,,,,,"herb, shrub",,to 30 cm,spine,,,,,,,,,,Insect,Insect,,,,,,,,,,,,,,,,,,,,,,,,,,"Compact, Spreading, caespitose, tufted",,
Cassytha glabella,,,,,,,,,,,,,,,,,"spring, summer",,,,,leafless,,,,,parasitic,twining,,climber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"climbing, prostrate",,
Casuarina glauca,,,"Upper, mid",,,,,,,,,,,,,,"spring, summer",,,,,,,,,,,,,"shrub, tree",,4 ft,,,,,,intolerant,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,dense,,
Cheilanthes sieberi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrysocephalum apiculatum,,,ground,,,,,,,,,,,yellow,,"cold, rain",,,,,,,,,,,,,,herb,,,,,,,,,,,,,"butterfly, insect","butterfly, insect",,,,,,,,,,,,,,,,,,,,,,,,,,prostrate,,
Clematis glycinoides,,,,,,,,,,,,,,white,,,spring,,,,,,,,,,,,,climber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clerodendrum tomentosum,,,,,,,,,,,,,,,,,,red,,,,,,,,,,,,"shrub, tree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"arborescent, bushy",,
Commelina cyanea,,,ground,,,,,,,,,,,blue,,,,blue,,,,broadleaf,,,,,,,,"climber, herb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"creeping, spreading",,
Correa reflexa,,,"ground, upper",,,,partial shade,,,,,,,"cream, green, pink, red, white, yellow",,,"Winter, autumn, spring, summer - winter, winter, year, year-round",,,,,,,,,,,,,shrub,,"1-6 ft, 2-3 ft, 30 cm, 30 cm - 2m, 4-5 ft",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prostrate, spreading",,
Corymbia gummifera,,,,,,,,,,,,,,,,fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erect,lignotuber,
Crinum pedunculatum,,,,,,,full sun,,,,,,,white,,,"dusk, summer",,,,,,perennial,,,,,,,,,"2m, 4 feet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erect,,
Cryptandra propinqua,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cupaniopsis anacardioides,,,ground,,,,,,,,,,,,,,,"brown, orange",,,,,,,,,,,,tree,,"6 m, to 12 m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bushy, dense, erect",,
Cymbopogon refractus,,,ground,,seed,,full sun,,,,,,,,,,,,,,,,perennial,,,,,,,tussock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cynodon dactylon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stoloniferous,,
Desmodium varians,,,ground,,,,,,,,,,,pink,,,,,,,,,,,,,,,,climber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dianella caerulea,,,,,seed,,,,,,,,,blue,,,,"blue, purple",,,,,perennial,,,,,,,"herb, sprawling",,30-45 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rhizomatous, tufted",,
Dianella longifolia,,,,,,,full sun,,,,,,,,,,,"blue, purple",,,,,,,,,,,,,,80 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dianella revoluta,,,ground,,seed,,,,,,,,,"blue, violet, white",,,"spring, summer",blue,,,,,,,,,,,,"herb, shrub",,"1m, to 85 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sprawling, tufted",,
Dichanthium sericeum,,,ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dichelachne crinita,,,ground,,,,,,,,,,,,,,,,,,,,,,,,,,,herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tufted,,
Dichondra repens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prostrate,,
Dillwynia retorta,,,,,,,,,,,,,,yellow,,,spring,,,,,,,,,,,,,shrub,,6 feet high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bushy,,
Diuris sulphurea,,,,,,,,,,,,,,,,,September–October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodonaea triquetra,,,mid,,,,,,,,,,,,,fire,,,,,,,,,,,,none,,shrub,,1-3 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bushy, erect",,
Entolasia stricta,,,ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eremophila debilis,,,,,,,,,,,,,,,,,long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prostrate,,
Eucalyptus amplifolia,,,upper,,,,,,,,,,,,,,,,,,,,,,,,,,,tree,,20-30 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus crebra,,,,,,,,,,,,,,white,,,spring,,,,,,,,,,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arborescent,,
Eucalyptus grandis,,,upper,,,,,,,,,,,,,,,,,,,,,,,,,,,tree,,to 30 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erect,,
Eucalyptus microcorys,,,,,,,,,,,,,,,,,,,,,,,,,,,hemiparasitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus saligna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus sideroxylon,,,ground,,,,,,,,,,,pink,,,"summer, winter",,,,,,,,,,,,,"mallee, tree",,5-10m,,,,,,,,,,,bird,bird,,,,,,,,,,,unknown,,,,,,,,,,,,,unknown,,dense,,
Eucalyptus tereticornis,,,,,,"birds, wind",,,,,,,,,,,September to October,,,,,,,,,,,,,tree,,"1.5 m, to 20 m",,,,,,,,,,,"animal, wind","animal, wind",,,,,,,,,,,,,,,,,,,,persistent,,,,,,dense,,
Exocarpos cupressiformis,,,ground,,fruit,"ants, birds",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spreading,,
Ficus macrophylla,,,,,fruit,,,,,,,,,,,,,white,,,dark,,,,,,,,,tree,,"35-40 ft, 35-45 ft",absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"erect, spreading",,
Galium aparine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,creeping,,
Galium gaudichaudii,,,,,,,,,,,,,,,,,,pink,,,,,annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erect,,
Glycine clandestina,,,,,seed,,,,,,,,,,,,,,,,,,perennial,,,,,twining,,"herb, mallee, tree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prostrate, spreading",,
Glycine tabacina,,,,,seed,,,,,,,,,,,,may,,,,,,,,,,,scrambling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"compact, creeping",,
Goodenia hederacea,,,ground,,,,,,,,,,,,,,spring,,,,,,perennial,,,,,,,,,30 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"creeping, dense, prostrate, spreading",,
Grevillea robusta,,,ground,,"fruit, seed, seedling","insects, wind",,,,,,,,,,,summer,,,,,,,,,,,,,"shrub, tree",,"4-9m, growing to 12 m, to 25 m",,,,,,,,,,,wind,wind,,,,,,,,,,,,,,,,,,,,,,,,,,prostrate,lignotuber,
Grevillea speciosa,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,shrub,,to 1-1.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardenbergia violacea,,,ground,,,,full sun,,,,,,,pink,,,"july to november, august, spring, summer",,,,,,,,,,,twining,,"climber, shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"climbing, compact, prostrate",,
Hibbertia aspera,,,,,,,,,,,,,,,,,,,,,,,,,,,,twining,,shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erect,,
Hibbertia diffusa,,,ground,,,,,,,,,,,,,,,,,,,,,,,,,,,shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prostrate,,
Hypoxis hygrometrica,rhizome,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,corm,
Imperata cylindrica,,,ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indigofera australis,,,,,,,,,,,,,,pink,,,"april, june, spring",purple,,,,,,,,,,,,shrub,,2 m high,,,,,,,,,,,,,,,,,,,,,60%,,,,,,,,,,,,,,,,,"bushy, erect",,
Juncus subsecundus,,,,,,,,,,,,,,,,,summer,,,,,,perennial,,,,,,,herb,,to 70cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juncus usitatus,,,,,,water,,,,,,,,,,,spring,,,,,,perennial,,,,,,,herb,,to 50cm,,,,,,,,,,,water,water,,,,,,,,,,,,,,,,,,,,,,,,,,tufted,,
Kennedia rubicunda,,,ground,,,,,,,,,,,,,,"june, may, winter",red,,,,,,,,,,,,"climber, shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bushy,,
Lactuca serriola,,,,,,,,,,,,,,,,,,,,,,,perennial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana camara,,,ground,,,birds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasiopetalum ferrugineum,,,,,,,,,,,,,,pink,,,,,,,,,,,,,,,,shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tufted,,
Laxmannia gracilis,,,,,,,,,,,,,,pink,,,,pink,,,,,,,,,,,,herb,,to 40 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erect,,
Lepidosperma laterale,,,,,,,,,,,,,,,,,may,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ligustrum lucidum,,,,,,,,,,,,,,,,,,red,,,,,,,,,,,,mallee,,to 20ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linum marginale,,,ground,,seed,,,,,,,,,,,,july,,,,,,,,,,,,,,,5cm high,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,
Lissanthe strigosa,,,,,,,,,,,,,,"green, pink",,,,,,,,,,,,,,,,shrub,,"60cm, to 60 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bushy, erect",,
Livistona australis,,,,,"fruit, seed",,,,,,,,,,,,,yellow,,,,,,,,,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bushy, spreading",,
Lomandra filiformis,,,,,,,,,,,,,,pink,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lomandra longifolia,,,ground,,seedling,birds,,,,,,,,,,,,,,,,,ephemeral,,,,,,,"shrub, tussock",,"1 m, to 45 cm",,,,,,,,,,,"bird, self",bird,,,,,,,,,,,,,,,,,,,,,,,,,,"dense, prostrate",,
Lomandra multiflora,,,,,fruit,,,,,,,,,,,,,purple,,,,,,,,,,,,herb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melaleuca decora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shrub,,4 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melaleuca linariifolia,,,,,,"birds, wind",full sun,,,,,,,,,,"summer, spring, winter",,,,,,,,,,,,,"shrub, tree",,"1.5
m high, 1.5 m, 1.5 m high, 5 m",,,,,,,,,,,"insect, wind",insect,,,,,,,,,,,,,,,,,,,,,,,,,,dense,,
Melaleuca nodosa,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,shrub,,"4 m, 9 feet high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erect,,
Melaleuca styphelioides,,,ground,,,birds,,,,,,,,,,,spring,,,,,,,,,,,,,"shrub, tree",,"20 ft, 4-5 m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dense,,
Melia azedarach,,,,,,,,,,,,,,"green, pink",,,,"white, yellow",,,,,annual,,,,,,,"shrub, tree",,10-25 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"erect, spreading",,
Microlaena stipoides,,,ground,,seed,,,,,,,,,,,,,,,,,,perennial,,,,,,,tussock,,"10cm, to 70 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"dense, erect, tufted",,
Mirbelia rubiifolia,,,,,,,,,,,,,,pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nephrolepis cordifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fern,terrestrial,,,,,,,,,,weedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,creeping,,
Ochna serrulata,,,,,,birds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pandorea pandorana,,,,,,,full sun,,,,,,,,,,spring,,,,,,,,,,,,,"climber, shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"climbing, erect",,
Paspalum dilatatum,,,,,,,,,,,,,,,,,,,,,,,perennial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erect,,
Pavonia hastata,,,ground,,fruit,,,,,,,,,pink,,,spring,,,,,,annual,,,,,,,shrub,,"1 m high, 16-18 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"erect, open",,
Pellaea falcata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fern,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,creeping,,
Persicaria decipiens,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philydrum lanuginosum,,,,,,water,,,,,,,,,,,,yellow,,,,,,,,,,,,,,80 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phragmites australis,,,,,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pimelea spicata,,,,,spore,,,,,,,,,,,,,,,,,,,,,,,,,shrub,,"0.5 m

high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erect,,
Pittosporum undulatum,,,ground,,seed,,,,,,,,,grey,,,"spring, summer","grey, yellow",,,,,,,,,,,,tree,,"10-15 ft, 40ft, up to 80ft",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bushy, dense, spreading",,
Plectranthus parviflorus,,,,,fruit,,,,,,,,,,,,"spring, summer",,,,,,,,,,,,,herb,,"10-70 cm, 30 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,creeping,tuber,
Poa annua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tussock,,,,,,,,,,,,,self,self,,,,,,,,,,,,,,,,,,,,,,,,,,dense,,
Poa sieberiana,,,ground,,,,,,,,,,,,,,,,,,,,perennial,,,,,,,tussock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dense,,
Polymeria calycina,,,ground,,,,,,,,,,,pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pultenaea villosa,,,,,seed,,,,,,,,,,,,autumn,,,,,,,,,,,,,shrub,,"1-3 m, 2m, to 30 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"erect, prostrate",,
Pyrorchis nigricans,,,ground,,,,,,,,,,,,,fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubus fruticosus,,,,,,birds,,,,,,,,,,,,,,,,,,,,,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,creeping,,
Sarcochilus falcatus,,,,,,,,,,,,,,,,,,,,,cold,,,,,,,,,,epiphyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scaevola albida,,,ground,,,,,,,,,,,pink,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solanum nigrum,,,,,fruit,,,,,,,,,,,,,"black, green",,,,,annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stenocarpus sinuatus,,,upper,,fruit,,,,,,,,,,,fire,,red,,,,,,,,,,,,tree,,"20 m, to 30 m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"erect, open",,
Syncarpia glomulifera,,,ground,,,,,,,,,,,pink,,rain,may,,,,,,,,,,,,,fern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetragonia tetragonoides,,,,,fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Themeda triandra,,,ground,,seed,,,,,,,,,,,,spring,,,,,,perennial,,,,,,,tussock,,1000 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tricoryne elatior,,,,,,,full sun,,,,,,,,,,summer,yellow,,,,,perennial,,,,,,,shrub,,10-50 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sprawling, tufted",,
Vittadinia sulcata,,,,,,,,,,,,,,,,,,,,,,,annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"compact, erect",,
Wahlenbergia stricta,,,,,,,,,,,,,,green,,,,red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurmbea dioica,,corm,,,,,,,,,,,,,,,,pink,,,dark,,perennial,,,,,,,herb,,up to 30 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,corm,
Zieria smithii,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,